[2026-06-03 14:05:19] TO: 010-1234-5678 | MSG: [PASS-MATE] 홍길동 학생이 기설정된 WAKEUP 미션 수행에 실패하였습니다. 주의 관찰 부탁드립니다.
[2026-06-03 14:06:45] TO: 010-1234-5678 | MSG: [PASS-MATE] 홍길동 학생이 기설정된 WAKEUP 미션 수행에 실패하였습니다. 주의 관찰 부탁드립니다.
[2026-06-03 14:06:45] TO: 010-9876-5432 | MSG: [PASS-MATE] 홍길동 학생과의 과외 매칭이 성사되었습니다. 연락처: 010-9876-5432
[2026-06-03 14:25:53] TO: 010-1234-5678 | MSG: [PASS-MATE] 홍길동 학생이 기설정된 WAKEUP 미션 수행에 실패하였습니다. 주의 관찰 부탁드립니다.
[2026-06-03 14:25:53] TO: 010-9876-5432 | MSG: [PASS-MATE] 홍길동 학생과의 과외 매칭이 성사되었습니다. 연락처: 010-9876-5432
[2026-06-03 16:40:26] TO: 010-9876-5432 | MSG: [PASS-MATE] 홍길동 학생과의 과외 매칭이 성사되었습니다. 연락처: 010-9876-5432
[2026-08-01 23:34:55] TO: 010-1234-5678 | MSG: [PASS-MATE] 홍길동 학생이 공부 측정 중 다른 어플리케이션을 사용하여 집중을 유지하지 못했습니다.
[2026-08-11 12:36:35] TO: 010-1234-5678 | MSG: [PALIN OS] 홍길동 학생이 기설정된 SLEEP 미션 수행에 실패하였습니다. 수험 궤적 통제가 필요합니다.
[2026-08-21 14:28:14] TO: 01099998888 | TITLE: [PALIN OS 테스트] | MSG: PALIN OS 테스트 문자
[2026-08-21 14:30:00] TO: 01012345678 | TITLE: [검증] | MSG: 테스트
[2026-09-02 20:20:55] TO: 01012345678 | TITLE: [PALIN OS 행동통제 알림] | MSG: 자녀(김철훈)가 WAKEUP 미션에 실패했습니다. (연속 달성 기록 초기화)
[2026-09-02 20:44:57] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 20:44:58] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 20:44:58] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 23:16:25] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 23:16:26] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 23:16:26] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 23:16:49] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
